timestamp,event_type,topic,detail
2026-05-03T23:06:46.659815,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.12,""ec"":0,""suhu"":25.88,""t1"":552,""t2"":450,""t3"":272,""t4"":309,""t5"":246,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824406846}"
2026-05-03T23:06:51.977904,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.16,""ec"":0,""suhu"":25.88,""t1"":552,""t2"":450,""t3"":272,""t4"":309,""t5"":246,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824411146}"
2026-05-03T23:06:57.261521,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.11,""ec"":0,""suhu"":25.88,""t1"":552,""t2"":450,""t3"":272,""t4"":309,""t5"":246,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824416446}"
2026-05-03T23:07:02.557212,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.06,""ec"":0,""suhu"":25.88,""t1"":552,""t2"":450,""t3"":273,""t4"":309,""t5"":246,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824422746}"
2026-05-03T23:07:07.869673,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.08,""ec"":0,""suhu"":25.88,""t1"":552,""t2"":450,""t3"":272,""t4"":309,""t5"":246,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824427047}"
2026-05-03T23:07:13.166549,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.11,""ec"":0,""suhu"":25.94,""t1"":552,""t2"":450,""t3"":273,""t4"":309,""t5"":266,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824432346}"
2026-05-03T23:07:18.468031,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.14,""ec"":0,""suhu"":25.88,""t1"":552,""t2"":450,""t3"":273,""t4"":309,""t5"":246,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824438646}"
2026-05-03T23:07:23.763115,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.09,""ec"":0,""suhu"":25.88,""t1"":552,""t2"":450,""t3"":273,""t4"":309,""t5"":225,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824443946}"
2026-05-03T23:07:29.121662,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.15,""ec"":0,""suhu"":25.94,""t1"":552,""t2"":450,""t3"":272,""t4"":309,""t5"":246,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824449306}"
2026-05-03T23:07:34.369641,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.16,""ec"":0,""suhu"":25.94,""t1"":552,""t2"":450,""t3"":272,""t4"":309,""t5"":246,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824454545}"
2026-05-03T23:07:39.664613,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.14,""ec"":0,""suhu"":25.88,""t1"":552,""t2"":450,""t3"":273,""t4"":309,""t5"":246,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824459846}"
2026-05-03T23:07:44.959830,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.11,""ec"":0,""suhu"":25.88,""t1"":552,""t2"":450,""t3"":273,""t4"":309,""t5"":246,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824464146}"
2026-05-03T23:07:50.264244,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.14,""ec"":0,""suhu"":25.94,""t1"":552,""t2"":450,""t3"":272,""t4"":309,""t5"":246,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824470446}"
2026-05-03T23:07:55.562351,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.15,""ec"":0,""suhu"":25.94,""t1"":552,""t2"":450,""t3"":272,""t4"":309,""t5"":246,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824475746}"
2026-05-03T23:08:00.860548,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.17,""ec"":0,""suhu"":25.94,""t1"":552,""t2"":450,""t3"":273,""t4"":309,""t5"":226,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824480045}"
2026-05-03T23:08:06.162975,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.15,""ec"":0,""suhu"":25.94,""t1"":552,""t2"":450,""t3"":272,""t4"":309,""t5"":246,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824486346}"
2026-05-03T23:08:11.464683,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.15,""ec"":0,""suhu"":25.94,""t1"":552,""t2"":450,""t3"":273,""t4"":309,""t5"":220,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824491646}"
2026-05-03T23:08:16.768793,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.14,""ec"":0,""suhu"":25.88,""t1"":552,""t2"":450,""t3"":273,""t4"":309,""t5"":266,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824496946}"
2026-05-03T23:08:22.061868,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.13,""ec"":0,""suhu"":25.94,""t1"":552,""t2"":450,""t3"":273,""t4"":309,""t5"":226,""box"":15.09,""flow"":0.00,""total"":0.036,""timestamp"":1777824502246}"
2026-05-03T23:08:27.361664,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.14,""ec"":0,""suhu"":25.94,""t1"":552,""t2"":450,""t3"":272,""t4"":309,""t5"":246,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824507546}"
2026-05-03T23:08:32.743239,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.15,""ec"":0,""suhu"":25.94,""t1"":552,""t2"":450,""t3"":273,""t4"":309,""t5"":246,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824512917}"
